The current process just got forked. Disabling parallelism to avoid deadlocks...
To disable this warning, please explicitly set TOKENIZERS_PARALLELISM=(true | false)
Better speed can be achieved with apex installed from https://www.github.com/nvidia/apex.
------------------beginning epoch------------------
latest loss:tensor(12.1887, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2100, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.6970, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.9239, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.4191, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.1524, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3909, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.5816, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.2141, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.6267, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2995, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2587, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.9288, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9265, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7106, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7387, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2191, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0720, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.7610, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.4424, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.8989, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.8878, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.6482, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.7036, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2336, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.3103, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.5116, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.0347, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9829, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.7394, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.6767, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.0945, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0936, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2020, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.0398, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8343, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.1848, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.9668, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.2279, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.1598, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.8715, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0691, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2961, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.9693, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.8764, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2988, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.4466, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3958, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5175, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7032, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.0493, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1590, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.6097, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.3819, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1309, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.5144, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0905, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.5875, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8696, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.6991, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.8016, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.6018, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.8790, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9177, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2488, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4251, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2319, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.1576, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.9608, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.5754, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.0895, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8321, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1103, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.0463, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.3244, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.4951, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8267, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.9165, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.5002, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1512, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.7535, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.0585, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.3014, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4248, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4481, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.9052, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2047, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(14.2803, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6443, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9402, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.4074, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0454, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.6947, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.0983, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3087, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3831, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1763, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8805, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.3632, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.0390, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7239, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1945, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.4818, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2398, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.4633, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.5959, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.8852, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.1434, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1647, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.3884, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.0203, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.7424, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.9505, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.1255, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2311, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2736, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.2120, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.6584, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.3250, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.7105, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1232, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8415, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.2369, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8733, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.4258, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7936, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.1485, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0468, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.3627, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7069, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5079, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1904, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.5301, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8982, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3853, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2163, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.7671, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2414, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.3297, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.6437, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.2575, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.0768, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.9712, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.9334, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.5564, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.5005, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.2358, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.7755, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7915, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.3438, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.3435, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7539, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.1415, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9555, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4621, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(13.2764, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.0850, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.4297, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.4846, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.3872, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7193, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6804, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6448, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9123, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2387, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2874, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.9876, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.6686, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.5144, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.8068, device='cuda:0', grad_fn=<AddBackward0>)
------------------Training completed------------------
{0: {0: 14609, 1: 4, 2: 127, 'tag': ['<PAD>']}, 1: {0: 8652, 1: 1118717, 2: 1273882, 'tag': ['O']}, 2: {0: 35941, 1: 26, 2: 1822, 'tag': ['Repetition', 'Slogans', 'Appeal_to_fear-prejudice', 'Flag-Waving', 'Reductio_ad_hitlerum', 'Bandwagon', 'Appeal_to_Authority']}, 3: {0: 21606, 1: 40, 2: 7243, 'tag': ['Causal_Oversimplification', 'Obfuscation,Intentional_Vagueness,Confusion', 'Black-and-White_Fallacy', 'Thought-terminating_Cliches']}, 4: {0: 69558, 1: 14, 2: 282, 'tag': ['Name_Calling,Labeling', 'Doubt', 'Loaded_Language', 'Straw_Men']}, 5: {0: 14333, 1: 0, 2: 144, 'tag': ['Exaggeration,Minimisation', 'Red_Herring', 'Whataboutism']}}
general accuracy: 0.000565299113893639
general misses: 141438
general hits: 80
total epoch loss:  14604.312235057354
average train loss: 0.011378505831754853
validating..
------------------Validation completed------------------
{0: {0: 14610, 1: 0, 2: 0, 'tag': ['<PAD>']}, 1: {0: 0, 1: 1118718, 2: 0, 'tag': ['O']}, 2: {0: 35942, 1: 0, 2: 0, 'tag': ['Repetition', 'Slogans', 'Appeal_to_fear-prejudice', 'Flag-Waving', 'Reductio_ad_hitlerum', 'Bandwagon', 'Appeal_to_Authority']}, 3: {0: 21607, 1: 0, 2: 0, 'tag': ['Causal_Oversimplification', 'Obfuscation,Intentional_Vagueness,Confusion', 'Black-and-White_Fallacy', 'Thought-terminating_Cliches']}, 4: {0: 69559, 1: 0, 2: 0, 'tag': ['Name_Calling,Labeling', 'Doubt', 'Loaded_Language', 'Straw_Men']}, 5: {0: 14334, 1: 0, 2: 0, 'tag': ['Exaggeration,Minimisation', 'Red_Herring', 'Whataboutism']}}
general accuracy: 0.0
general misses: 141442
general hits: 0
An epoch was completed.
saved the model
------------------beginning epoch------------------
latest loss:tensor(9.4876, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.6985, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2906, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.1007, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.8841, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.9480, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1143, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.1125, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.9239, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7687, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6871, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.3671, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2671, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.1377, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5878, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.9522, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2449, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.7327, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.3781, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.2582, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2304, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.2508, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.1666, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5558, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.9932, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8646, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0441, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.9877, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7867, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7166, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.6904, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.6709, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.7914, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.0706, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(13.6554, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.5520, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4676, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6325, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7194, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.3770, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5438, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.7407, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.1224, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2726, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.4646, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0158, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.1412, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.9225, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.7972, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3088, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.3968, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1849, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7937, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.8187, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3214, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.7926, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4289, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4340, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.6107, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.3093, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2020, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.9040, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(14.0634, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.9275, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4215, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2933, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.0574, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.9745, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6943, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.6654, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.9068, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.0142, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.8687, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.5085, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0070, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2413, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.7192, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.1936, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.7598, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4573, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.0595, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0943, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.2716, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2940, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.7748, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.7450, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.9853, device='cuda:0', grad_fn=<AddBackward0>)
